iter	RMSE
0	14.50673428
1	14.03034031
2	13.57814242
3	13.12822895
4	12.70764081
5	12.33695895
6	11.99569147
7	11.69765553
8	11.34529051
9	11.00092869
10	10.68316665
11	10.40189648
12	10.13502816
13	9.868526664
14	9.631371943
15	9.383991387
16	9.154892635
17	8.92700364
18	8.726379385
19	8.5315532
20	8.362934954
21	8.19822584
22	8.04317285
23	7.883682057
24	7.748876563
25	7.615066927
26	7.480750862
27	7.367590166
28	7.253146386
29	7.148416111
30	7.054015526
31	6.949351794
32	6.862838705
33	6.781864421
34	6.692066206
35	6.615862471
36	6.537862164
37	6.467341578
38	6.398668175
39	6.333349161
40	6.280681732
41	6.227883363
42	6.167541468
43	6.125583794
44	6.077715291
45	6.033905084
46	5.991101153
47	5.947537204
48	5.90801286
49	5.869222982
50	5.838608795
51	5.804411244
52	5.772352253
53	5.738399966
54	5.710729231
55	5.688629163
56	5.663257441
57	5.639418078
58	5.613609019
59	5.592860611
60	5.572943601
61	5.549274649
62	5.530892811
63	5.504566711
64	5.488082536
65	5.468736439
66	5.451034243
67	5.433600415
68	5.418153795
69	5.403157264
70	5.386088036
71	5.369104961
72	5.353544336
73	5.338793491
74	5.328914969
75	5.314524182
76	5.304991919
77	5.294981951
78	5.284875144
79	5.271375609
80	5.261917174
81	5.25312981
82	5.249374384
83	5.239053962
84	5.228673824
85	5.220911104
86	5.206134908
87	5.197132788
88	5.185684429
89	5.173930679
90	5.157900684
91	5.151954785
92	5.142920216
93	5.132476018
94	5.124059316
95	5.114643451
96	5.107245806
97	5.098060263
98	5.093796002
99	5.083922794
